phase,batter,runs,balls,sixes,fours,sr,bpct
Middle,Lalit Yadav,180,177,4,14,101.69491525423729,10.16949152542373
Middle,TH David,180,143,9,11,125.87412587412588,13.986013986013987
Middle,PJ Cummins,161,130,8,15,123.84615384615385,17.692307692307693
Middle,Priyansh Arya,161,81,14,10,198.76543209876542,29.629629629629626
Middle,PK Garg,157,150,4,7,104.66666666666666,7.333333333333333
Middle,PP Chawla,156,177,5,10,88.13559322033898,8.47457627118644
Middle,DB Ravi Teja,153,137,3,13,111.67883211678833,11.678832116788321
Middle,DJG Sammy,151,140,8,6,107.85714285714285,10.0
Middle,JEC Franklin,151,140,7,4,107.85714285714285,7.857142857142857
Middle,UBT Chand,150,139,3,14,107.91366906474819,12.23021582733813
Middle,DT Christian,147,166,4,6,88.55421686746988,6.024096385542169
Middle,PC Valthaty,147,118,9,9,124.57627118644068,15.254237288135593
Middle,Sameer Rizvi,147,113,6,11,130.08849557522123,15.04424778761062
Middle,Harbhajan Singh,146,139,6,14,105.03597122302158,14.388489208633093
Middle,Aniket Verma,145,89,13,7,162.92134831460675,22.47191011235955
Middle,GH Vihari,145,161,1,10,90.06211180124224,6.832298136645963
Middle,SA Asnodkar,145,129,1,18,112.40310077519379,14.728682170542637
Middle,RD Rickelton,143,90,10,10,158.88888888888889,22.22222222222222
Middle,C de Grandhomme,142,110,7,12,129.0909090909091,17.272727272727273
Middle,MV Boucher,137,138,2,11,99.27536231884058,9.420289855072465
Middle,NLTC Perera,137,117,8,6,117.0940170940171,11.965811965811966
Middle,A Manohar,132,123,4,12,107.31707317073172,13.008130081300814
