era,player,runs,balls_faced,innings,matches,strike_rate,avg_per_innings,boundary_pct,dot_pct,six_of_boundaries_pct,impact_score
2008-2012,SR Watson,1232,840,2,38,146.66666666666666,616.0,21.30952380952381,38.333333333333336,32.960893854748605,0.44859674770396274
2008-2012,M Vijay,1288,963,2,48,133.74870197300103,644.0,17.75700934579439,41.64070612668744,33.91812865497076,0.43037070332000915
2008-2012,AB de Villiers,1289,1010,2,52,127.62376237623762,644.5,13.663366336633665,32.37623762376238,28.985507246376812,0.41552449456163554
2008-2012,DPMD Jayawardene,1475,1150,3,63,128.26086956521738,491.6666666666667,16.956521739130434,35.73913043478261,17.435897435897434,0.40653912280817484
2008-2012,S Badrinath,1314,1088,2,58,120.77205882352942,657.0,15.716911764705882,38.143382352941174,16.374269005847953,0.4047155312462084
2008-2012,KD Karthik,1231,992,2,62,124.09274193548387,615.5,15.020161290322582,34.67741935483871,18.79194630872483,0.39274218388884147
2008-2012,SC Ganguly,1343,1257,2,56,106.84168655529038,671.5,14.160700079554495,47.25536992840095,23.03370786516854,0.3774392673604683
2008-2012,Yuvraj Singh,1240,939,3,55,132.05537806176784,413.3333333333333,17.145899893503728,40.04259850905218,41.61490683229814,0.36770187391867853
2008-2012,DA Warner,1015,751,2,39,135.1531291611185,507.5,19.573901464713714,42.743009320905465,29.25170068027211,0.367540968209105
2008-2012,AT Rayudu,1081,845,2,45,127.92899408284025,540.5,15.976331360946746,34.9112426035503,26.666666666666668,0.3657700856906405
2008-2012,ML Hayden,1096,799,3,32,137.17146433041302,365.3333333333333,20.40050062578223,41.55193992490614,26.993865030674847,0.350779321125254
2008-2012,A Symonds,973,745,2,36,130.60402684563758,486.5,15.436241610738255,36.644295302013425,35.65217391304348,0.3461356776414225
2008-2012,BB McCullum,1220,991,3,47,123.1079717457114,406.6666666666667,17.255297679112008,43.99596367305752,27.485380116959064,0.3415587237633117
2008-2012,TM Dilshan,1063,909,2,45,116.94169416941693,531.5,16.39163916391639,43.34433443344334,16.10738255033557,0.33433170083478614
2008-2012,BJ Hodge,1006,823,2,45,122.23572296476306,503.0,14.459295261239369,37.0595382746051,23.52941176470588,0.33353306248777337
2008-2012,DJ Hussey,965,768,2,46,125.65104166666667,482.5,14.192708333333334,37.36979166666667,44.03669724770643,0.33199125303320215
2008-2012,IK Pathan,928,722,2,59,128.53185595567865,464.0,14.81994459833795,34.62603878116344,31.775700934579437,0.3301039472287704
2008-2012,ST Jayasuriya,760,529,2,30,143.66729678638941,380.0,23.062381852551987,47.44801512287334,31.147540983606557,0.3265970988181326
2008-2012,LRPL Taylor,888,683,2,45,130.01464128843338,444.0,14.93411420204978,36.896046852122986,43.13725490196079,0.3240440854141833
2008-2012,JP Duminy,977,819,2,38,119.2918192918193,488.5,11.72161172161172,32.356532356532355,36.45833333333333,0.3192388888806882
2008-2012,MEK Hussey,958,793,2,28,120.80706179066836,479.0,15.132408575031524,38.08322824716267,20.833333333333336,0.3183581862781464
