bowler,balls,runs,wickets,dots,matches,economy,sr,dot_pct,avg
A Singh,473,621,31,200,23,7.87737843551797,15.258064516129032,42.28329809725159,20.032258064516128
Umran Malik,493,736,31,217,26,8.95740365111562,15.903225806451612,44.01622718052739,23.741935483870968
Harmeet Singh,549,709,31,213,28,7.748633879781421,17.70967741935484,38.79781420765027,22.870967741935484
CR Woakes,440,650,31,173,21,8.863636363636363,14.193548387096774,39.31818181818182,20.967741935483872
SK Raina,908,1117,30,299,69,7.381057268722467,30.266666666666666,32.929515418502206,37.233333333333334
B Lee,875,1060,30,400,38,7.268571428571429,29.166666666666668,45.714285714285715,35.333333333333336
AD Mathews,791,1070,28,237,44,8.116308470290772,28.25,29.96207332490518,38.214285714285715
Yash Thakur,443,748,28,149,21,10.130925507900677,15.821428571428571,33.63431151241535,26.714285714285715
STR Binny,594,746,28,204,63,7.535353535353535,21.214285714285715,34.34343434343434,26.642857142857142
Mohsin Khan,510,694,28,227,24,8.16470588235294,18.214285714285715,44.509803921568626,24.785714285714285
J Botha,694,799,27,268,34,6.9077809798270895,25.703703703703702,38.61671469740634,29.59259259259259
DR Smith,539,796,27,179,46,8.860853432282003,19.962962962962962,33.209647495361786,29.48148148148148
PV Tambe,660,847,27,215,33,7.700000000000001,24.444444444444443,32.57575757575758,31.37037037037037
R Dhawan,662,880,27,218,36,7.97583081570997,24.51851851851852,32.93051359516616,32.592592592592595
Navdeep Saini,652,916,26,284,31,8.429447852760736,25.076923076923077,43.558282208588956,35.23076923076923
Akash Madhwal,352,550,26,112,17,9.375,13.538461538461538,31.818181818181817,21.153846153846153
Naveen-ul-Haq,387,571,26,140,17,8.852713178294573,14.884615384615385,36.17571059431525,21.96153846153846
Basil Thampi,521,844,26,163,25,9.719769673704416,20.03846153846154,31.285988483685223,32.46153846153846
SW Tait,473,580,26,222,21,7.357293868921776,18.192307692307693,46.93446088794926,22.307692307692307
GB Hogg,458,563,25,170,21,7.3755458515283845,18.32,37.117903930131,22.52
MJ Santner,603,718,25,216,31,7.144278606965173,24.12,35.82089552238806,28.72
RE van der Merwe,443,503,25,159,21,6.812641083521445,17.72,35.89164785553047,20.12
Vijaykumar Vyshak,357,577,24,103,17,9.69747899159664,14.875,28.851540616246496,24.041666666666668
